0.0113691675752428,0.0112360875600759,0.0182842836951977,0.0174471220618621,0.0160752391280884,0.0168680492639395,0.0248300304102172
0,0,0.0515372166797405,0.0737663114232006,0.108745599786185,0.114108793020994,0
0,0,0.0517479561546888,0.0296271789215306,0.0136487835691634,0.0214828860525517,0
0,0.177867217512015,0.048240021977946,0.041428180024546,0.0127235482959072,0,0
0.0914725779051193,0,0,0,0,0,0.0794984725429949
0.1308,0.1269,0.1271,0.128,0.1294,0.131578588857799,0.113677786794306
0.0906,0.0878,0.0786,0.0778,0.0768,0.0766,0.0787401183758727
0.1338,0.1165,0.1443,0.1502,0.1587,0.1558,0
0.2426,0.2394,0.2605,0.2655,0.2731,0.2702,0.210842745231642
0.022,0.0212,0.0196,0.0195,0.0193,0.0193,0.0191201170449139
